code,label,state,scrape_status,smarthub_host,portal_url,notes
pge_or,Portland General Electric (PGE),OR,in-progress,,https://portlandgeneral.com/auth/sign-in,"Investor-owned utility serving Portland metro and northwest OR (~930K customers). Bespoke portal, adapter needs live login. Manual PDF upload meanwhile."
pacific_power,Pacific Power (PacifiCorp),OR,in-progress,,https://www.pacificpower.net/my-account.html,"Investor-owned utility serving central/southeast OR and south coast (~610K OR customers). Bespoke portal, adapter needs live login. Manual PDF upload meanwhile."
blachlylane,Blachly-Lane Electric Cooperative,OR,live,blachlylane.smarthub.coop,https://blachlylane.smarthub.coop,NISC SmartHub portal — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
cec_or,Central Electric Cooperative,OR,in-progress,,,"Central Electric Cooperative (Redmond OR). SmartHub host collision: cec.smarthub.coop already claimed by SC, centralec.smarthub.coop claimed by SD. Actual OR host unconfirmed (Jun 2026). Manual PDF upload until unique host verified."
clpud,Central Lincoln PUD,OR,live,clpud.smarthub.coop,https://clpud.smarthub.coop,NISC SmartHub portal (Newport) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
columbia_basin,Columbia Basin Electric Cooperative,OR,live,columbiabasin.smarthub.coop,https://columbiabasin.smarthub.coop,"NISC SmartHub portal (Heppner, ~4K members in Morrow/Gilliam/Wheeler/Sherman/Umatilla counties) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports."
crpud,Columbia River PUD,OR,live,crpud.smarthub.coop,https://crpud.smarthub.coop,NISC SmartHub portal (St. Helens area) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
cpi,Consumers Power Inc.,OR,live,cpi.smarthub.coop,https://cpi.smarthub.coop,"NISC SmartHub portal (Philomath, ~24K members in Benton/Lane/Lincoln/Linn/Marion/Polk counties) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports."
douglas_electric,Douglas Electric Cooperative,OR,in-progress,,,Douglas Electric Cooperative (Roseburg). SmartHub host collision: douglaselectric.smarthub.coop already claimed by SD. Actual OR host unconfirmed (Jun 2026). Manual PDF upload until unique host verified.
epud,Emerald People's Utility District,OR,live,epud.smarthub.coop,https://epud.smarthub.coop,"NISC SmartHub portal (Eugene, ~20K rural Lane County customers) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports."
hood_river,Hood River Electric & Internet Co-op,OR,live,hrec.smarthub.coop,https://hrec.smarthub.coop,"NISC SmartHub portal (Odell, ~4K meters in upper Hood River valley, also provides internet) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports."
lane_electric,Lane Electric Cooperative,OR,live,laneelectric.smarthub.coop,https://laneelectric.smarthub.coop,"NISC SmartHub portal (Eugene, ~11K members) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports."
midstate,Midstate Electric Cooperative,OR,live,midstateelectric.smarthub.coop,https://midstateelectric.smarthub.coop,"NISC SmartHub portal (LaPine, ~21K meters in Central OR — Deschutes/Klamath/Lake/Lane counties) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports."
salem_electric,Salem Electric,OR,live,salemelectric.smarthub.coop,https://salemelectric.smarthub.coop,"NISC SmartHub portal (Salem, serves parts of Salem and Keizer) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports."
tpud,Tillamook People's Utility District,OR,live,tpud.smarthub.coop,https://tpud.smarthub.coop,NISC SmartHub portal — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
umatilla_electric,Umatilla Electric Cooperative,OR,live,umatillaelectric.smarthub.coop,https://umatillaelectric.smarthub.coop,NISC SmartHub portal (Hermiston) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
west_oregon,West Oregon Electric Cooperative,OR,live,westoregon.smarthub.coop,https://westoregon.smarthub.coop,NISC SmartHub portal (Vernonia) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
columbia_power,Columbia Power Cooperative,OR,in-progress,,,Monument-based electric co-op. No SmartHub host found (Jun 2026). Manual PDF upload until portal confirmed.
coos_curry,Coos-Curry Electric Cooperative,OR,in-progress,,,"Port Orford-based electric co-op (~13K members, southern coast). No SmartHub host found (Jun 2026). Manual PDF upload until portal confirmed."
oregon_trail,Oregon Trail Electric Cooperative,OR,in-progress,,,"Baker City-based electric co-op, pending acquisition of Idaho Power OR territory (~20K customers, expected early 2027). No SmartHub host found (Jun 2026). Manual PDF upload until portal confirmed."
umpqua_indian,Umpqua Indian Utility Cooperative,OR,in-progress,,,Canyonville-based tribal utility (serves Cow Creek Band). No SmartHub host found (Jun 2026). Manual PDF upload until portal confirmed.
wasco_electric,Wasco Electric Cooperative,OR,in-progress,,,The Dalles-based electric co-op. No SmartHub host found (Jun 2026). Manual PDF upload until portal confirmed.
clatskanie_pud,Clatskanie PUD,OR,live,clatskaniepud.smarthub.coop,https://clatskaniepud.smarthub.coop,People's Utility District. No SmartHub host found (Jun 2026). Manual PDF upload until portal confirmed. SmartHub host auto-discovered + siteName-verified ('Clatskanie PUD') Jul 2026.
northern_wasco_pud,Northern Wasco County PUD,OR,live,nwascopud.smarthub.coop,https://nwascopud.smarthub.coop,Confirmed live SmartHub host via discovery sweep 2026-07-09. The Dalles-based People's Utility District. No SmartHub host found (Jun 2026). Manual PDF upload until portal confirmed.
eweb,Eugene Water & Electric Board (EWEB),OR,in-progress,,https://www.eweb.org,"Municipal utility serving Eugene (~86K customers, electric and water). Bespoke portal, adapter needs live login. Manual PDF upload meanwhile."
springfield_ub,Springfield Utility Board (SUB),OR,in-progress,,,"Municipal utility serving Springfield (electric and water). No SmartHub, bespoke portal. Manual PDF upload until portal confirmed."
ashland,City of Ashland,OR,in-progress,,,"Municipal utility (electric, water, wastewater). No SmartHub found. Manual PDF upload until portal confirmed."
bandon,City of Bandon,OR,in-progress,,,Municipal electric utility. No SmartHub found. Manual PDF upload until portal confirmed.
cascade_locks,City of Cascade Locks,OR,in-progress,,,Municipal electric utility. No SmartHub found. Manual PDF upload until portal confirmed.
drain,City of Drain,OR,in-progress,,,Municipal electric utility. No SmartHub found. Manual PDF upload until portal confirmed.
forest_grove,Forest Grove Light & Power,OR,in-progress,,,Municipal electric utility (City of Forest Grove). No SmartHub found. Manual PDF upload until portal confirmed.
hermiston_energy,Hermiston Energy Services,OR,live,hermistonenergy.smarthub.coop,https://hermistonenergy.smarthub.coop,Municipal electric utility. No SmartHub found. Manual PDF upload until portal confirmed. SmartHub host auto-discovered + siteName-verified ('Hermiston Energy Services') Jul 2026.
mcminnville_or,McMinnville Water & Light,OR,live,mcpower.smarthub.coop,https://mcpower.smarthub.coop,Confirmed live SmartHub host via discovery sweep 2026-07-09. Municipal utility (electric and water). No SmartHub found. Manual PDF upload until portal confirmed.
milton_freewater,City of Milton-Freewater,OR,in-progress,,,Municipal electric utility. No SmartHub found. Manual PDF upload until portal confirmed.
monmouth,Monmouth Power & Light,OR,in-progress,,,Municipal electric utility (City of Monmouth). No SmartHub found. Manual PDF upload until portal confirmed.
